"","Pre-season","Pre-season Label","Year","In-season","Category","Observed","Pre-season Error","In-season Error"
"1",37.83,"Pre-season","2000",40.5238948187878,"Weighted",30.190889786459,7.63911021354098,10.3330050323288
"2",22.36,"Pre-season","2001",22.6224304427129,"Weighted",23.144958201486,-0.784958201486038,-0.522527758773119
"3",17.14,"Pre-season","2002",20.5347446824624,"Weighted",17.8533323554732,-0.713332355473167,2.6814123269892
"4",32.28,"Pre-season","2003",25.3899248167675,"Weighted",26.8112514056556,5.46874859434438,-1.42132658888812
"5",54.96,"Pre-season","2004",43.0904862980543,"Weighted",44.7983698186901,10.1616301813099,-1.70788352063577
"6",32.51,"Pre-season","2005",37.3923111245881,"Weighted",40.285740874562,-7.77574087456205,-2.8934297499739
"7",37.26,"Pre-season","2006",41.4321733551286,"Weighted",43.7987634965401,-6.53876349654006,-2.36659014141141
"8",35.21,"Pre-season","2007",41.4461969878245,"Weighted",46.274333514213,-11.064333514213,-4.82813652638841
"9",41.61,"Pre-season","2008",46.5083152650035,"Weighted",42.1097250881361,-0.499725088136145,4.39859017686732
"10",36.249,"Pre-season","2009",39.6673647744802,"Weighted",41.5561293285251,-5.30712932852507,-1.88876455404486
"11",39.508,"Pre-season","2010",38.4600372566821,"Weighted",41.3311745848431,-1.82317458484308,-2.87113732816098
"12",35.636,"Pre-season","2011",37.7993575812963,"Weighted",31.8001591237644,3.83584087623557,5.99919845753189
"13",31.494,"Pre-season","2012",33.8720174222724,"Weighted",31.7683078080711,-0.274307808071104,2.10370961420125
"14",28.171245,"Pre-season","2013",32.5098924199806,"Weighted",25.7372292930726,2.43401570692742,6.77266312690799
"15",29.4358985,"Pre-season","2014",29.9686057395,"Weighted",41.472690052525,-12.036791552525,-11.5040843130251
"16",49.4778275,"Pre-season","2015",51.6514051784517,"Weighted",59.938425870439,-10.460598370439,-8.28702069198736
"17",50.9119675,"Pre-season","2016",52.6866763225899,"Weighted",52.8911501220491,-1.97918262204909,-0.204473799459166
"18",43.095545,"Pre-season","2017",49.8135626410591,"Weighted",58.218737258788,-15.123192258788,-8.40517461772891
"19",47.5577676568,"Pre-season","2018",51.9202284503581,"Weighted",63.7431440598871,-16.1853764030871,-11.822915609529
"20",44.626003,"Pre-season","2019",50.0814131655493,"Weighted",57.043191048057,-12.417188048057,-6.96177788250766
"21",48.925277,"Pre-season","2020",56.5507108614359,"Weighted",58.76886539364,-9.84358839364005,-2.21815453220416
"22",50.912858013,"Pre-season","2021",58.4640536193864,"Weighted",71.2045616318422,-20.2917036188422,-12.7405080124558
"23",71.9153565,"Pre-season","2022",66.0950211983357,"Weighted",83.281914,-11.3665575,-17.1868928016643
"24",49.99085706665,"Pre-season","2023",60.3085794122799,"Weighted",54.485107,-4.49424993335001,5.82347241227992
