"","165","166","167","168","169","170","171","172","173","174","175","176","177","178","179","180","181","182","183","184","185","186","187","188","189","190","191","192","193","194","195","196","197","198","199","200","201","202","203","204","205","206","207","208","209","210","211","212","213","214","215","216","217","218","219","220","221","222","223","224","225","226","227","228","229","230","231","232","233","234","235","236","237","238","239","240","241","242","243","244","245","246","247","248","249","250","251","252","253","254"
"1980",NA,NA,NA,NA,NA,NA,492,521.258064516129,523.4,520.265306122449,524.677419354839,527.375,527.543209876543,517.018518518518,518.308740068104,513.594046865104,511.69038701623,510.479302188054,509.63359126081,510.093320790216,511.255383225418,510.665815675262,511.708470847085,511.95788964182,512.321138211382,512.302557563939,511.682419530824,511.705167562036,511.910016674607,511.829431253451,511.797246234277,511.727726574501,511.840336518678,511.832822154065,511.704647414957,511.686747500532,511.772412074908,511.72664019973,511.802698553769,511.860402042119,511.898482346465,511.967509590543,512.027149321267,512.059830389792,512.059830389792,512.134894177843,512.193331789766,512.245732738736,512.295130914102,512.341089411047,512.341089411047,512.341089411047,512.341089411047,512.341089411047,512.341089411047,512.341089411047,512.341089411047,512.341089411047,512.341089411047,512.341089411047,512.341089411047,512.341089411047,512.341089411047,512.341089411047,512.341089411047,512.341089411047,512.341089411047,512.341089411047,512.341089411047,512.341089411047,512.341089411047,512.341089411047,512.341089411047,512.341089411047,512.341089411047,512.341089411047,512.341089411047,512.341089411047,512.341089411047,512.341089411047,512.341089411047,512.341089411047,512.341089411047,512.341089411047,512.341089411047,512.341089411047,512.341089411047,512.341089411047,512.341089411047,512.341089411047
"1981",NA,NA,NA,509.066666666667,514.671875,514.671875,520.423529411765,521.632653061224,522.841726618705,520.398496240602,524.927536231884,526.862290862291,526.719183673469,527.202908129544,527.136509635974,526.622497616778,526.0579181855,526.381081081081,526.643052555796,526.265732484076,526.728856291543,527.413991280222,527.497460087083,527.672863070539,527.85895308493,528.156368754398,528.714638585543,528.940600198413,529.269123459661,529.181609195402,529.470287113287,529.644437215355,529.857961783439,529.929385919029,530.038893510815,530.062137531069,530.066281230642,530.116077792485,530.188477449299,530.219156168766,530.270423375075,530.278864290678,530.287938901012,530.351319417093,530.377579966742,530.481463649494,530.506441454337,530.515680106758,530.523705255141,530.52396804261,530.52396804261,530.52396804261,530.52396804261,530.52396804261,530.52396804261,530.52396804261,530.52396804261,530.52396804261,530.52396804261,530.52396804261,530.52396804261,530.52396804261,530.52396804261,530.52396804261,530.52396804261,530.52396804261,530.52396804261,530.52396804261,530.52396804261,530.52396804261,530.52396804261,530.52396804261,530.52396804261,530.52396804261,530.52396804261,530.52396804261,530.52396804261,530.52396804261,530.52396804261,530.52396804261,530.52396804261,530.52396804261,530.52396804261,530.52396804261,530.52396804261,530.52396804261,530.52396804261,530.52396804261,530.52396804261,530.52396804261
"1982",NA,NA,NA,NA,NA,NA,NA,NA,NA,523.1,532.480769230769,530.335664335664,530.572769953052,533.423423423423,530.908096280088,521.592137592138,522.505164319249,520.561085972851,518.586297760211,518.765033407572,519.284951024043,518.631412786109,517.386873350923,516.129076838032,515.069336384439,514.828724885618,514.558073148974,514.453938802083,514.590555799971,514.02565480188,513.820135601893,513.340022296544,513.274491017964,513.008823870893,513.009364774907,512.782945736434,512.869179837676,512.992610577431,512.942712110225,513.135314542484,513.179427294882,513.464289291796,513.485157421289,513.492249602544,513.393623302499,513.4478515625,513.371150097466,513.334984941222,513.334984941222,513.335562663565,513.356314059176,513.335807944466,513.335807944466,513.263888888889,513.282970183486,513.339333333333,513.339333333333,513.339333333333,513.339333333333,513.339333333333,513.339333333333,513.339333333333,513.339333333333,513.339333333333,513.339333333333,513.339333333333,513.339333333333,513.339333333333,513.339333333333,513.339333333333,513.339333333333,513.339333333333,513.339333333333,513.339333333333,513.339333333333,513.339333333333,513.339333333333,513.339333333333,513.339333333333,513.339333333333,513.339333333333,513.339333333333,513.339333333333,513.339333333333,513.339333333333,513.339333333333,513.339333333333,513.339333333333,513.339333333333,513.339333333333
"1983",NA,NA,NA,509.666666666667,509.666666666667,530.214285714286,527.593333333333,528.685823754789,528.439093484419,528.575956284153,528.568872987478,527.934931506849,523.378250591017,521.111610006414,519.780537877233,519.360622065728,519.097145598465,518.209485368315,518.722862549458,518.07248401088,517.450435234507,516.821637596338,517.068115786076,516.799860321261,516.910513717547,517.36770993672,517.351692157501,517.508521102596,517.942569032818,517.933861427237,518.186215115702,518.246738028883,518.216742554763,518.415966894219,518.432394700885,518.605231353591,518.681714740855,518.726600985222,518.76300920956,518.779338889515,518.805546190155,518.847532249019,518.86291361066,518.890344018765,518.935576334391,518.947601045199,518.966422262956,518.996587314799,518.996587314799,519.037665356728,519.037665356728,519.037665356728,519.037665356728,519.037665356728,519.037665356728,519.037665356728,519.037665356728,519.037665356728,519.037665356728,519.037665356728,519.037665356728,519.037665356728,519.037665356728,519.037665356728,519.037665356728,519.037665356728,519.037665356728,519.037665356728,519.037665356728,519.037665356728,519.037665356728,519.037665356728,519.037665356728,519.037665356728,519.037665356728,519.037665356728,519.037665356728,519.037665356728,519.037665356728,519.037665356728,519.037665356728,519.037665356728,519.037665356728,519.037665356728,519.037665356728,519.037665356728,519.037665356728,519.037665356728,519.037665356728,519.037665356728
"1984",NA,NA,NA,NA,NA,481.666666666667,502.204081632653,509.768115942029,505.747330960854,507.356164383562,515.100763358779,501.441988950276,497.714285714286,496.035346097202,495.386055776892,495.386515353805,495.469548667754,495.272221076511,494.443968726731,495.408844765343,494.778284923928,494.391873364078,495.389682626241,496.225706271288,496.640500362582,497.242536392795,498.037295144739,498.456253124777,498.801241830065,499.345537340619,499.961520869068,500.329030858506,500.5056686962,500.610590631365,500.661899086214,500.477969720497,500.410271041369,500.447358561259,500.554994860293,500.514813105676,500.531019978969,500.460275830884,500.45021625719,500.467890725968,500.492764593259,500.562475014436,500.598864795353,500.613752159851,500.619405958125,500.646335530099,500.656516551023,500.656516551023,500.656516551023,500.656516551023,500.656516551023,500.656516551023,500.656516551023,500.656516551023,500.656516551023,500.656516551023,500.656516551023,500.656516551023,500.656516551023,500.656516551023,500.656516551023,500.656516551023,500.656516551023,500.656516551023,500.656516551023,500.656516551023,500.656516551023,500.656516551023,500.656516551023,500.656516551023,500.656516551023,500.656516551023,500.656516551023,500.656516551023,500.656516551023,500.656516551023,500.656516551023,500.656516551023,500.656516551023,500.656516551023,500.656516551023,500.656516551023,500.656516551023,500.656516551023,500.656516551023,500.656516551023
"1985",NA,NA,NA,NA,530.7,523.120603015075,512.987951807229,508.384288747346,508.384288747346,508.384288747346,508.562753036437,508.594433399602,508.321880650995,514.513935810811,513.125267665953,515.159510618652,515.285199738049,514.132296255507,513.728303633418,513.702667468913,513.095358863809,513.220213943194,513.523852075887,514.125007633588,513.925170068027,512.829316621354,512.904547835196,512.852696344553,512.900011226285,512.565435168739,512.880588216029,512.720569417786,512.742104606167,512.725184248666,512.62305400146,512.511285191188,512.363510650818,512.34340152779,512.236762831653,512.030653853831,512.022979130337,512.052145104262,511.992239528868,511.967019510735,511.938483237496,511.926953842828,511.931604791712,511.904162971324,511.892566191446,511.884021861437,511.884021861437,511.887755648356,511.887755648356,511.887755648356,511.887755648356,511.887755648356,511.887755648356,511.887755648356,511.887755648356,511.887755648356,511.887755648356,511.887755648356,511.887755648356,511.887755648356,511.887755648356,511.887755648356,511.887755648356,511.887755648356,511.887755648356,511.887755648356,511.887755648356,511.887755648356,511.887755648356,511.887755648356,511.887755648356,511.887755648356,511.887755648356,511.887755648356,511.887755648356,511.887755648356,511.887755648356,511.887755648356,511.887755648356,511.887755648356,511.887755648356,511.887755648356,511.887755648356,511.887755648356,511.887755648356,511.887755648356
"1986",NA,NA,506.444444444444,504.7,507,519.816326530612,528.395833333333,531.047619047619,528.348754448399,527.652027027027,526.307189542484,517.78364116095,515.154822335025,511.959363957597,517.906291834003,516.108205590622,516.183296378418,513.937425506555,509.531523239761,512.253750646663,514.711209276643,513.806775407779,515.011144227031,515.19916337439,515.732516750419,516.789410791433,518.732465543645,519.238675010203,519.757642470751,520.231721628917,521.043183878019,521.743154107535,521.842115487349,521.926462948094,521.87078915267,521.780934666357,521.721737121737,521.654716722301,521.632428765265,521.547292160458,521.529671407553,521.48260541165,521.457578308449,521.411871218478,521.358448192347,521.299969256445,521.299969256445,521.299969256445,521.299969256445,521.299969256445,521.299969256445,521.299969256445,521.299969256445,521.299969256445,521.299969256445,521.299969256445,521.299969256445,521.299969256445,521.299969256445,521.299969256445,521.299969256445,521.299969256445,521.299969256445,521.299969256445,521.299969256445,521.299969256445,521.299969256445,521.299969256445,521.299969256445,521.299969256445,521.299969256445,521.299969256445,521.299969256445,521.299969256445,521.299969256445,521.299969256445,521.299969256445,521.299969256445,521.299969256445,521.299969256445,521.299969256445,521.299969256445,521.299969256445,521.299969256445,521.299969256445,521.299969256445,521.299969256445,521.299969256445,521.299969256445,521.299969256445
"1987",NA,NA,600,550.666666666667,532.2,532.2,532.2,501.702127659574,511.880658436214,512.484251968504,511.327645051195,511.160337552743,512.453453453453,516.465020576132,514.889626980072,515.020346646571,516.221950556914,514.347785285285,515.407305685251,514.341766052283,515.312022995341,514.722917245853,514.602130492676,514.781662609722,514.356878088962,514.718028732925,514.959864014613,514.87719554323,514.536062199863,514.745140743785,514.473260449146,514.343020006706,514.338300399525,514.235164527748,513.994097376233,513.791254485094,513.78037166854,513.706216163329,513.6149108174,513.545963127781,513.489786283088,513.47209200575,513.474199950385,513.413920542039,513.374831433125,513.360606616523,513.364179832855,513.389358982163,513.37825346631,513.379517706372,513.378458737864,513.378458737864,513.378458737864,513.378458737864,513.378458737864,513.378458737864,513.378458737864,513.378458737864,513.378458737864,513.378458737864,513.378458737864,513.378458737864,513.378458737864,513.378458737864,513.378458737864,513.378458737864,513.378458737864,513.378458737864,513.378458737864,513.378458737864,513.378458737864,513.378458737864,513.378458737864,513.378458737864,513.378458737864,513.378458737864,513.378458737864,513.378458737864,513.378458737864,513.378458737864,513.378458737864,513.378458737864,513.378458737864,513.378458737864,513.378458737864,513.378458737864,513.378458737864,513.378458737864,513.378458737864,513.378458737864
"1988",NA,NA,NA,530.5,531.215189873418,531.31875,531.31875,531.262345679012,526.093846153846,526.093846153846,528.109075770191,528.162999185004,521.338566552901,515.380808080808,516.171410499684,516.175785482124,517.337944664032,516.202084184716,516.764763618518,516.411859208412,516.651499118166,516.101366630616,516.080530973451,516.681634003142,517.359148550725,517.085823865692,517.732769830949,517.799435678913,518.042326055469,517.701074536879,518.319391634981,518.771268026249,518.83899578523,518.754519539566,518.916082726716,518.876421608448,518.833105015203,518.833996155631,518.82986065466,518.860889990865,518.871089955314,518.836266135765,518.842521947326,518.868160864727,518.909275279653,518.890105369743,518.884287608106,518.853039370079,518.853039370079,518.853039370079,518.853039370079,518.853039370079,518.853039370079,518.853039370079,518.853039370079,518.853039370079,518.853039370079,518.853039370079,518.853039370079,518.853039370079,518.853039370079,518.853039370079,518.853039370079,518.853039370079,518.853039370079,518.853039370079,518.853039370079,518.853039370079,518.853039370079,518.853039370079,518.853039370079,518.853039370079,518.853039370079,518.853039370079,518.853039370079,518.853039370079,518.853039370079,518.865541986655,518.865541986655,518.865541986655,518.865541986655,518.865541986655,518.865541986655,518.865541986655,518.865541986655,518.865541986655,518.865541986655,518.865541986655,518.865541986655,518.865541986655
