"","agency","forecaster","retYr","dist","stream","fwA","oA","ret","System"
"1493",1,2,1998,324,6,2,2,190,"Alagnak"
"1494",1,2,1998,322,7,0,3,0,"Egegik"
"1495",1,2,1998,322,7,0,2,0,"Egegik"
"1496",1,2,1998,322,7,0,4,0,"Egegik"
"1497",1,2,1998,322,7,1,2,770,"Egegik"
"1498",1,2,1998,322,7,1,4,0,"Egegik"
"1499",1,2,1998,322,7,1,3,1050,"Egegik"
"1500",2,1,1998,322,7,1,2,682,"Egegik"
"1501",2,1,1998,322,7,1,3,1082,"Egegik"
"1502",1,2,1998,322,7,2,1,0,"Egegik"
"1503",1,2,1998,322,7,2,3,3250,"Egegik"
"1504",1,2,1998,322,7,2,2,3290,"Egegik"
"1505",2,1,1998,322,7,2,3,3502,"Egegik"
"1506",2,1,1998,322,7,2,2,3886,"Egegik"
"1507",1,2,1998,321,8,0,3,0,"Ugashik"
"1508",1,2,1998,321,8,0,2,0,"Ugashik"
"1509",1,2,1998,321,8,0,4,0,"Ugashik"
"1510",1,2,1998,321,8,1,3,1490,"Ugashik"
"1511",1,2,1998,321,8,1,2,1240,"Ugashik"
"1512",1,2,1998,321,8,1,4,0,"Ugashik"
"1513",2,1,1998,321,8,1,3,670,"Ugashik"
"1514",2,1,1998,321,8,1,2,894,"Ugashik"
"1515",1,2,1998,321,8,2,2,860,"Ugashik"
"1516",1,2,1998,321,8,2,1,0,"Ugashik"
"1517",1,2,1998,321,8,2,3,670,"Ugashik"
"1518",2,1,1998,321,8,2,2,1119,"Ugashik"
"1519",2,1,1998,321,8,2,3,751,"Ugashik"
"1520",1,2,1998,326,9,0,4,0,"Togiak"
"1521",1,2,1998,326,9,0,3,0,"Togiak"
"1522",1,2,1998,326,9,0,2,0,"Togiak"
"1523",1,2,1998,326,9,1,3,250,"Togiak"
"1524",1,2,1998,326,9,1,2,100,"Togiak"
"1525",1,2,1998,326,9,1,4,0,"Togiak"
"1526",2,1,1998,326,9,1,3,310,"Togiak"
"1527",2,1,1998,326,9,1,2,120,"Togiak"
"1528",1,2,1998,326,9,2,2,30,"Togiak"
"1529",1,2,1998,326,9,2,1,0,"Togiak"
"1530",1,2,1998,326,9,2,3,50,"Togiak"
"1531",2,1,1998,326,9,2,2,28,"Togiak"
"1532",2,1,1998,326,9,2,3,37,"Togiak"
"1533",1,2,1999,325,1,0,4,0,"Wood"
"1534",1,2,1999,325,1,0,3,0,"Wood"
"1535",1,2,1999,325,1,0,2,0,"Wood"
"1536",1,2,1999,325,1,1,3,2070,"Wood"
"1537",1,2,1999,325,1,1,2,2400,"Wood"
"1538",1,2,1999,325,1,1,4,0,"Wood"
"1539",2,1,1999,325,1,1,3,1655,"Wood"
"1540",2,1,1999,325,1,1,2,1558,"Wood"
"1541",1,2,1999,325,1,2,2,110,"Wood"
"1542",1,2,1999,325,1,2,1,0,"Wood"
"1543",1,2,1999,325,1,2,3,80,"Wood"
"1544",2,1,1999,325,1,2,3,76,"Wood"
"1545",2,1,1999,325,1,2,2,184,"Wood"
"1546",1,2,1999,325,2,0,4,0,"Nushagak"
"1547",1,2,1999,325,2,0,3,90,"Nushagak"
"1548",1,2,1999,325,2,0,2,0,"Nushagak"
"1549",2,1,1999,325,2,0,0,209,"Nushagak"
"1550",1,2,1999,325,2,1,3,600,"Nushagak"
"1551",1,2,1999,325,2,1,2,110,"Nushagak"
"1552",1,2,1999,325,2,1,4,0,"Nushagak"
"1553",2,1,1999,325,2,1,2,68,"Nushagak"
"1554",2,1,1999,325,2,1,3,676,"Nushagak"
"1555",1,2,1999,325,2,2,2,0,"Nushagak"
"1556",1,2,1999,325,2,2,1,0,"Nushagak"
"1557",1,2,1999,325,2,2,3,0,"Nushagak"
"1558",2,1,1999,325,2,2,3,11,"Nushagak"
"1559",2,1,1999,325,2,2,2,5,"Nushagak"
"1560",1,2,1999,325,3,0,4,0,"Igushik"
"1561",1,2,1999,325,3,0,3,0,"Igushik"
"1562",1,2,1999,325,3,0,2,0,"Igushik"
"1563",1,2,1999,325,3,1,3,1030,"Igushik"
"1564",1,2,1999,325,3,1,2,170,"Igushik"
"1565",1,2,1999,325,3,1,4,0,"Igushik"
"1566",2,1,1999,325,3,1,3,553,"Igushik"
"1567",2,1,1999,325,3,1,2,128,"Igushik"
"1568",1,2,1999,325,3,2,2,50,"Igushik"
"1569",1,2,1999,325,3,2,3,30,"Igushik"
"1570",1,2,1999,325,3,2,1,0,"Igushik"
"1571",2,1,1999,325,3,2,2,35,"Igushik"
"1572",2,1,1999,325,3,2,3,38,"Igushik"
"1573",1,2,1999,324,4,0,4,0,"Kvichak"
"1574",1,2,1999,324,4,0,2,0,"Kvichak"
"1575",1,2,1999,324,4,0,3,0,"Kvichak"
"1576",1,2,1999,324,4,1,3,1230,"Kvichak"
"1577",1,2,1999,324,4,1,4,0,"Kvichak"
"1578",1,2,1999,324,4,1,2,5200,"Kvichak"
"1579",2,1,1999,324,4,1,3,1546,"Kvichak"
"1580",2,1,1999,324,4,1,2,3676,"Kvichak"
"1581",1,2,1999,324,4,2,2,7400,"Kvichak"
"1582",1,2,1999,324,4,2,3,360,"Kvichak"
"1583",1,2,1999,324,4,2,1,0,"Kvichak"
"1584",2,1,1999,324,4,2,2,6368,"Kvichak"
"1585",2,1,1999,324,4,2,3,512,"Kvichak"
"1586",1,2,1999,324,5,0,2,0,"Naknek"
"1587",1,2,1999,324,5,0,4,0,"Naknek"
"1588",1,2,1999,324,5,0,3,0,"Naknek"
"1589",1,2,1999,324,5,1,3,1200,"Naknek"
"1590",1,2,1999,324,5,1,4,0,"Naknek"
"1591",1,2,1999,324,5,1,2,380,"Naknek"
"1592",2,1,1999,324,5,1,2,568,"Naknek"
"1593",2,1,1999,324,5,1,3,906,"Naknek"
"1594",1,2,1999,324,5,2,3,600,"Naknek"
"1595",1,2,1999,324,5,2,2,790,"Naknek"
"1596",1,2,1999,324,5,2,1,0,"Naknek"
"1597",2,1,1999,324,5,2,3,698,"Naknek"
"1598",2,1,1999,324,5,2,2,766,"Naknek"
"1599",1,2,1999,324,6,0,4,0,"Alagnak"
"1600",1,2,1999,324,6,0,2,0,"Alagnak"
"1601",1,2,1999,324,6,0,3,0,"Alagnak"
"1602",1,2,1999,324,6,1,4,0,"Alagnak"
"1603",1,2,1999,324,6,1,3,140,"Alagnak"
"1604",1,2,1999,324,6,1,2,160,"Alagnak"
"1605",1,2,1999,324,6,2,3,40,"Alagnak"
"1606",1,2,1999,324,6,2,2,160,"Alagnak"
"1607",1,2,1999,324,6,2,1,0,"Alagnak"
"1608",1,2,1999,322,7,0,4,0,"Egegik"
"1609",1,2,1999,322,7,0,2,0,"Egegik"
"1610",1,2,1999,322,7,0,3,0,"Egegik"
"1611",1,2,1999,322,7,1,4,0,"Egegik"
"1612",1,2,1999,322,7,1,3,1140,"Egegik"
"1613",1,2,1999,322,7,1,2,570,"Egegik"
"1614",2,1,1999,322,7,1,2,279,"Egegik"
"1615",2,1,1999,322,7,1,3,361,"Egegik"
"1616",1,2,1999,322,7,2,3,1260,"Egegik"
"1617",1,2,1999,322,7,2,2,4680,"Egegik"
"1618",1,2,1999,322,7,2,1,0,"Egegik"
"1619",2,1,1999,322,7,2,2,2418,"Egegik"
"1620",2,1,1999,322,7,2,3,712,"Egegik"
"1621",1,2,1999,321,8,0,4,0,"Ugashik"
"1622",1,2,1999,321,8,0,2,0,"Ugashik"
"1623",1,2,1999,321,8,0,3,0,"Ugashik"
"1624",1,2,1999,321,8,1,4,0,"Ugashik"
"1625",1,2,1999,321,8,1,3,990,"Ugashik"
"1626",1,2,1999,321,8,1,2,600,"Ugashik"
"1627",2,1,1999,321,8,1,3,414,"Ugashik"
"1628",2,1,1999,321,8,1,2,207,"Ugashik"
"1629",1,2,1999,321,8,2,3,130,"Ugashik"
"1630",1,2,1999,321,8,2,2,990,"Ugashik"
"1631",1,2,1999,321,8,2,1,0,"Ugashik"
"1632",2,1,1999,321,8,2,3,111,"Ugashik"
"1633",2,1,1999,321,8,2,2,763,"Ugashik"
"1634",1,2,1999,326,9,0,4,0,"Togiak"
"1635",1,2,1999,326,9,0,2,0,"Togiak"
"1636",1,2,1999,326,9,0,3,0,"Togiak"
"1637",1,2,1999,326,9,1,4,0,"Togiak"
"1638",1,2,1999,326,9,1,3,180,"Togiak"
"1639",1,2,1999,326,9,1,2,90,"Togiak"
"1640",2,1,1999,326,9,1,3,161,"Togiak"
"1641",2,1,1999,326,9,1,2,98,"Togiak"
"1642",1,2,1999,326,9,2,3,30,"Togiak"
"1643",1,2,1999,326,9,2,2,30,"Togiak"
"1644",1,2,1999,326,9,2,1,0,"Togiak"
"1645",2,1,1999,326,9,2,3,18,"Togiak"
"1646",2,1,1999,326,9,2,2,29,"Togiak"
"1647",1,2,2000,325,1,0,2,0,"Wood"
"1648",1,2,2000,325,1,0,4,0,"Wood"
"1649",1,2,2000,325,1,0,3,0,"Wood"
"1650",1,2,2000,325,1,1,2,1400,"Wood"
"1651",1,2,2000,325,1,1,3,2000,"Wood"
"1652",1,2,2000,325,1,1,4,0,"Wood"
"1653",2,1,2000,325,1,1,3,1698,"Wood"
"1654",2,1,2000,325,1,1,2,1373,"Wood"
"1655",1,2,2000,325,1,2,1,0,"Wood"
"1656",1,2,2000,325,1,2,2,200,"Wood"
"1657",1,2,2000,325,1,2,3,200,"Wood"
"1658",2,1,2000,325,1,2,2,225,"Wood"
"1659",2,1,2000,325,1,2,3,136,"Wood"
"1660",1,2,2000,325,2,0,3,100,"Nushagak"
"1661",1,2,2000,325,2,0,2,0,"Nushagak"
"1662",1,2,2000,325,2,0,4,0,"Nushagak"
"1663",2,1,2000,325,2,0,0,0,"Nushagak"
"1664",1,2,2000,325,2,1,2,100,"Nushagak"
"1665",1,2,2000,325,2,1,3,700,"Nushagak"
"1666",1,2,2000,325,2,1,4,60,"Nushagak"
"1667",2,1,2000,325,2,1,2,104,"Nushagak"
"1668",2,1,2000,325,2,1,3,645,"Nushagak"
"1669",1,2,2000,325,2,2,1,0,"Nushagak"
"1670",1,2,2000,325,2,2,2,0,"Nushagak"
"1671",1,2,2000,325,2,2,3,0,"Nushagak"
"1672",2,1,2000,325,2,2,2,3,"Nushagak"
"1673",2,1,2000,325,2,2,3,10,"Nushagak"
"1674",1,2,2000,325,3,0,3,0,"Igushik"
"1675",1,2,2000,325,3,0,2,0,"Igushik"
"1676",1,2,2000,325,3,0,4,0,"Igushik"
"1677",1,2,2000,325,3,1,2,300,"Igushik"
"1678",1,2,2000,325,3,1,3,900,"Igushik"
"1679",1,2,2000,325,3,1,4,0,"Igushik"
"1680",2,1,2000,325,3,1,3,1252,"Igushik"
"1681",2,1,2000,325,3,1,2,274,"Igushik"
"1682",1,2,2000,325,3,2,1,0,"Igushik"
"1683",1,2,2000,325,3,2,2,100,"Igushik"
"1684",1,2,2000,325,3,2,3,300,"Igushik"
"1685",2,1,2000,325,3,2,3,55,"Igushik"
"1686",2,1,2000,325,3,2,2,53,"Igushik"
"1687",1,2,2000,324,4,0,3,0,"Kvichak"
"1688",1,2,2000,324,4,0,2,0,"Kvichak"
"1689",1,2,2000,324,4,0,4,0,"Kvichak"
"1690",1,2,2000,324,4,1,2,2000,"Kvichak"
"1691",1,2,2000,324,4,1,3,2200,"Kvichak"
"1692",1,2,2000,324,4,1,4,0,"Kvichak"
"1693",2,1,2000,324,4,1,2,2935,"Kvichak"
"1694",2,1,2000,324,4,1,3,1804,"Kvichak"
"1695",1,2,2000,324,4,2,1,0,"Kvichak"
"1696",1,2,2000,324,4,2,2,2900,"Kvichak"
"1697",1,2,2000,324,4,2,3,900,"Kvichak"
"1698",2,1,2000,324,4,2,3,1629,"Kvichak"
"1699",2,1,2000,324,4,2,2,3399,"Kvichak"
"1700",1,2,2000,324,5,0,3,0,"Naknek"
"1701",1,2,2000,324,5,0,2,0,"Naknek"
"1702",1,2,2000,324,5,0,4,0,"Naknek"
"1703",1,2,2000,324,5,1,2,500,"Naknek"
"1704",1,2,2000,324,5,1,4,0,"Naknek"
"1705",1,2,2000,324,5,1,3,4100,"Naknek"
"1706",2,1,2000,324,5,1,2,423,"Naknek"
"1707",2,1,2000,324,5,1,3,3657,"Naknek"
"1708",1,2,2000,324,5,2,1,0,"Naknek"
"1709",1,2,2000,324,5,2,3,600,"Naknek"
"1710",1,2,2000,324,5,2,2,500,"Naknek"
"1711",2,1,2000,324,5,2,3,771,"Naknek"
"1712",2,1,2000,324,5,2,2,674,"Naknek"
"1713",1,2,2000,324,6,0,3,0,"Alagnak"
"1714",1,2,2000,324,6,0,2,0,"Alagnak"
"1715",1,2,2000,324,6,0,4,0,"Alagnak"
"1716",1,2,2000,324,6,1,2,200,"Alagnak"
"1717",1,2,2000,324,6,1,4,0,"Alagnak"
"1718",1,2,2000,324,6,1,3,100,"Alagnak"
"1719",1,2,2000,324,6,2,1,0,"Alagnak"
"1720",1,2,2000,324,6,2,3,40,"Alagnak"
"1721",1,2,2000,324,6,2,2,200,"Alagnak"
"1722",1,2,2000,322,7,0,3,0,"Egegik"
"1723",1,2,2000,322,7,0,2,0,"Egegik"
"1724",1,2,2000,322,7,0,4,0,"Egegik"
"1725",1,2,2000,322,7,1,2,1000,"Egegik"
"1726",1,2,2000,322,7,1,4,0,"Egegik"
"1727",1,2,2000,322,7,1,3,3700,"Egegik"
"1728",2,1,2000,322,7,1,3,1266,"Egegik"
"1729",2,1,2000,322,7,1,2,854,"Egegik"
"1730",1,2,2000,322,7,2,1,0,"Egegik"
"1731",1,2,2000,322,7,2,3,3100,"Egegik"
"1732",1,2,2000,322,7,2,2,3600,"Egegik"
"1733",2,1,2000,322,7,2,3,2557,"Egegik"
"1734",2,1,2000,322,7,2,2,3870,"Egegik"
"1735",1,2,2000,321,8,0,2,0,"Ugashik"
"1736",1,2,2000,321,8,0,3,0,"Ugashik"
"1737",1,2,2000,321,8,0,4,0,"Ugashik"
"1738",1,2,2000,321,8,1,3,3100,"Ugashik"
"1739",1,2,2000,321,8,1,2,500,"Ugashik"
"1740",1,2,2000,321,8,1,4,0,"Ugashik"
"1741",2,1,2000,321,8,1,2,608,"Ugashik"
"1742",2,1,2000,321,8,1,3,1892,"Ugashik"
"1743",1,2,2000,321,8,2,1,0,"Ugashik"
"1744",1,2,2000,321,8,2,3,600,"Ugashik"
"1745",1,2,2000,321,8,2,2,700,"Ugashik"
"1746",2,1,2000,321,8,2,3,589,"Ugashik"
"1747",2,1,2000,321,8,2,2,1491,"Ugashik"
"1748",1,2,2000,326,9,0,2,0,"Togiak"
"1749",1,2,2000,326,9,0,3,0,"Togiak"
"1750",1,2,2000,326,9,0,4,0,"Togiak"
"1751",1,2,2000,326,9,1,2,100,"Togiak"
"1752",1,2,2000,326,9,1,4,0,"Togiak"
"1753",1,2,2000,326,9,1,3,700,"Togiak"
"1754",2,1,2000,326,9,1,3,540,"Togiak"
"1755",2,1,2000,326,9,1,2,134,"Togiak"
"1756",1,2,2000,326,9,2,1,0,"Togiak"
"1757",1,2,2000,326,9,2,3,100,"Togiak"
"1758",1,2,2000,326,9,2,2,30,"Togiak"
"1759",2,1,2000,326,9,2,3,39,"Togiak"
"1760",2,1,2000,326,9,2,2,28,"Togiak"
"1761",1,2,2001,325,1,1,2,2140,"Wood"
"1762",1,2,2001,325,1,1,3,2110,"Wood"
"1763",2,1,2001,325,1,1,3,1478,"Wood"
"1764",2,1,2001,325,1,1,2,1610,"Wood"
"1765",1,2,2001,325,1,2,2,170,"Wood"
"1766",1,2,2001,325,1,2,3,210,"Wood"
"1767",2,1,2001,325,1,2,2,1982,"Wood"
"1768",2,1,2001,325,1,2,3,69,"Wood"
"1769",1,2,2001,325,2,0,3,70,"Nushagak"
"1770",1,2,2001,325,2,0,4,0,"Nushagak"
"1771",2,1,2001,325,2,0,0,0,"Nushagak"
"1772",1,2,2001,325,2,1,2,190,"Nushagak"
"1773",1,2,2001,325,2,1,3,2030,"Nushagak"
"1774",1,2,2001,325,2,1,4,60,"Nushagak"
"1775",2,1,2001,325,2,1,2,98,"Nushagak"
"1776",2,1,2001,325,2,1,3,1322,"Nushagak"
"1777",2,1,2001,325,2,2,2,6,"Nushagak"
"1778",2,1,2001,325,2,2,3,6,"Nushagak"
"1779",1,2,2001,325,3,1,2,240,"Igushik"
"1780",1,2,2001,325,3,1,3,730,"Igushik"
"1781",2,1,2001,325,3,1,3,995,"Igushik"
"1782",2,1,2001,325,3,1,2,155,"Igushik"
"1783",1,2,2001,325,3,2,2,30,"Igushik"
"1784",1,2,2001,325,3,2,3,30,"Igushik"
"1785",2,1,2001,325,3,2,3,49,"Igushik"
"1786",2,1,2001,325,3,2,2,39,"Igushik"
"1787",1,2,2001,324,4,0,3,100,"Kvichak"
"1788",1,2,2001,324,4,1,3,700,"Kvichak"
"1789",1,2,2001,324,4,1,2,2000,"Kvichak"
"1790",2,1,2001,324,4,1,2,975,"Kvichak"
"1791",2,1,2001,324,4,1,3,1003,"Kvichak"
"1792",1,2,2001,324,4,2,2,1200,"Kvichak"
"1793",1,2,2001,324,4,2,3,600,"Kvichak"
"1794",2,1,2001,324,4,2,3,119,"Kvichak"
"1795",2,1,2001,324,4,2,2,788,"Kvichak"
"1796",1,2,2001,324,5,1,3,770,"Naknek"
"1797",1,2,2001,324,5,1,2,250,"Naknek"
"1798",2,1,2001,324,5,1,3,1196,"Naknek"
"1799",2,1,2001,324,5,1,2,429,"Naknek"
"1800",1,2,2001,324,5,2,2,210,"Naknek"
"1801",1,2,2001,324,5,2,3,620,"Naknek"
"1802",2,1,2001,324,5,2,3,537,"Naknek"
"1803",2,1,2001,324,5,2,2,620,"Naknek"
"1804",1,2,2001,324,6,1,3,170,"Alagnak"
"1805",1,2,2001,324,6,1,2,280,"Alagnak"
"1806",1,2,2001,324,6,2,2,90,"Alagnak"
"1807",1,2,2001,324,6,2,3,20,"Alagnak"
"1808",1,2,2001,322,7,1,2,630,"Egegik"
"1809",1,2,2001,322,7,1,3,2200,"Egegik"
"1810",2,1,2001,322,7,1,2,663,"Egegik"
"1811",2,1,2001,322,7,1,3,990,"Egegik"
"1812",1,2,2001,322,7,2,2,1230,"Egegik"
"1813",1,2,2001,322,7,2,3,1320,"Egegik"
"1814",2,1,2001,322,7,2,2,3084,"Egegik"
"1815",2,1,2001,322,7,2,3,2883,"Egegik"
"1816",1,2,2001,321,8,1,3,260,"Ugashik"
"1817",1,2,2001,321,8,1,2,410,"Ugashik"
"1818",2,1,2001,321,8,1,3,586,"Ugashik"
"1819",2,1,2001,321,8,1,2,480,"Ugashik"
"1820",1,2,2001,321,8,2,2,280,"Ugashik"
"1821",1,2,2001,321,8,2,3,520,"Ugashik"
"1822",2,1,2001,321,8,2,2,871,"Ugashik"
"1823",2,1,2001,321,8,2,3,294,"Ugashik"
"1824",1,2,2001,326,9,1,3,320,"Togiak"
"1825",1,2,2001,326,9,1,2,120,"Togiak"
"1826",2,1,2001,326,9,1,2,112,"Togiak"
"1827",2,1,2001,326,9,1,3,296,"Togiak"
"1828",1,2,2001,326,9,2,2,20,"Togiak"
"1829",1,2,2001,326,9,2,3,30,"Togiak"
"1830",2,1,2001,326,9,2,2,25,"Togiak"
"1831",2,1,2001,326,9,2,3,33,"Togiak"
"1832",1,2,2002,325,1,1,2,1570,"Wood"
"1833",1,2,2002,325,1,1,3,310,"Wood"
"1834",2,1,2002,325,1,1,2,2493,"Wood"
"1835",2,1,2002,325,1,1,3,1233,"Wood"
"1836",1,2,2002,325,1,2,2,160,"Wood"
"1837",1,2,2002,325,1,2,3,90,"Wood"
"1838",2,1,2002,325,1,2,2,60,"Wood"
"1839",2,1,2002,325,1,2,3,8,"Wood"
"1840",1,2,2002,325,2,0,3,80,"Nushagak"
"1841",1,2,2002,325,2,0,4,30,"Nushagak"
"1842",2,1,2002,325,2,0,0,176,"Nushagak"
"1843",1,2,2002,325,2,1,3,600,"Nushagak"
"1844",1,2,2002,325,2,1,4,80,"Nushagak"
"1845",1,2,2002,325,2,1,2,160,"Nushagak"
"1846",2,1,2002,325,2,1,2,32,"Nushagak"
"1847",2,1,2002,325,2,1,3,577,"Nushagak"
"1848",2,1,2002,325,2,2,2,3,"Nushagak"
"1849",2,1,2002,325,2,2,3,6,"Nushagak"
"1850",1,2,2002,325,3,1,2,240,"Igushik"
"1851",1,2,2002,325,3,1,3,540,"Igushik"
"1852",2,1,2002,325,3,1,2,78,"Igushik"
"1853",2,1,2002,325,3,1,3,488,"Igushik"
"1854",1,2,2002,325,3,2,2,30,"Igushik"
"1855",1,2,2002,325,3,2,3,20,"Igushik"
"1856",2,1,2002,325,3,2,2,22,"Igushik"
"1857",2,1,2002,325,3,2,3,12,"Igushik"
"1858",1,2,2002,324,4,1,3,670,"Kvichak"
"1859",1,2,2002,324,4,1,2,470,"Kvichak"
"1860",2,1,2002,324,4,1,2,629,"Kvichak"
"1861",2,1,2002,324,4,1,3,1006,"Kvichak"
"1862",1,2,2002,324,4,2,3,250,"Kvichak"
"1863",1,2,2002,324,4,2,2,630,"Kvichak"
"1864",2,1,2002,324,4,2,2,185,"Kvichak"
"1865",2,1,2002,324,4,2,3,25,"Kvichak"
"1866",1,2,2002,324,5,1,2,350,"Naknek"
"1867",1,2,2002,324,5,1,3,1380,"Naknek"
"1868",1,2,2002,324,5,1,4,180,"Naknek"
"1869",2,1,2002,324,5,1,2,337,"Naknek"
"1870",2,1,2002,324,5,1,3,935,"Naknek"
"1871",1,2,2002,324,5,2,2,590,"Naknek"
"1872",1,2,2002,324,5,2,3,890,"Naknek"
"1873",2,1,2002,324,5,2,2,504,"Naknek"
"1874",2,1,2002,324,5,2,3,262,"Naknek"
"1875",1,2,2002,324,6,1,2,240,"Alagnak"
"1876",1,2,2002,324,6,1,3,150,"Alagnak"
"1877",1,2,2002,324,6,2,3,20,"Alagnak"
"1878",1,2,2002,324,6,2,2,60,"Alagnak"
"1879",1,2,2002,322,7,1,2,420,"Egegik"
"1880",1,2,2002,322,7,1,3,350,"Egegik"
"1881",1,2,2002,322,7,1,4,10,"Egegik"
"1882",2,1,2002,322,7,1,2,355,"Egegik"
"1883",2,1,2002,322,7,1,3,1312,"Egegik"
"1884",1,2,2002,322,7,2,2,3450,"Egegik"
"1885",1,2,2002,322,7,2,3,660,"Egegik"
"1886",2,1,2002,322,7,2,3,484,"Egegik"
"1887",2,1,2002,322,7,2,2,2399,"Egegik"
"1888",1,2,2002,321,8,1,4,20,"Ugashik"
"1889",1,2,2002,321,8,1,3,670,"Ugashik"
"1890",1,2,2002,321,8,1,2,490,"Ugashik"
"1891",2,1,2002,321,8,1,2,457,"Ugashik"
"1892",2,1,2002,321,8,1,3,995,"Ugashik"
"1893",1,2,2002,321,8,2,2,440,"Ugashik"
"1894",1,2,2002,321,8,2,3,430,"Ugashik"
"1895",2,1,2002,321,8,2,3,38,"Ugashik"
"1896",2,1,2002,321,8,2,2,849,"Ugashik"
"1897",1,2,2002,326,9,1,2,110,"Togiak"
"1898",1,2,2002,326,9,1,3,250,"Togiak"
"1899",1,2,2002,326,9,1,4,10,"Togiak"
"1900",2,1,2002,326,9,1,3,216,"Togiak"
"1901",2,1,2002,326,9,1,2,66,"Togiak"
"1902",1,2,2002,326,9,2,2,20,"Togiak"
"1903",1,2,2002,326,9,2,3,20,"Togiak"
"1904",2,1,2002,326,9,2,3,11,"Togiak"
"1905",2,1,2002,326,9,2,2,17,"Togiak"
"1906",1,2,2003,325,1,1,2,2170,"Wood"
"1907",1,2,2003,325,1,1,4,0,"Wood"
"1908",1,2,2003,325,1,1,3,2060,"Wood"
"1909",2,1,2003,325,1,1,2,1598,"Wood"
"1910",2,1,2003,325,1,1,3,2445,"Wood"
"1911",1,2,2003,325,1,2,2,190,"Wood"
"1912",1,2,2003,325,1,2,3,0,"Wood"
"1913",2,1,2003,325,1,2,2,262,"Wood"
"1914",2,1,2003,325,1,2,3,69,"Wood"
"1915",1,2,2003,325,2,0,3,100,"Nushagak"
"1916",2,1,2003,325,2,0,0,89,"Nushagak"
"1917",1,2,2003,325,2,1,3,3900,"Nushagak"
"1918",1,2,2003,325,2,1,2,200,"Nushagak"
"1919",2,1,2003,325,2,1,2,142,"Nushagak"
"1920",2,1,2003,325,2,1,3,1276,"Nushagak"
"1921",1,2,2003,325,2,2,2,0,"Nushagak"
"1922",1,2,2003,325,2,2,3,0,"Nushagak"
"1923",2,1,2003,325,2,2,3,6,"Nushagak"
"1924",2,1,2003,325,2,2,2,8,"Nushagak"
"1925",1,2,2003,325,3,1,2,210,"Igushik"
"1926",1,2,2003,325,3,1,3,490,"Igushik"
"1927",1,2,2003,325,3,1,4,0,"Igushik"
"1928",2,1,2003,325,3,1,3,584,"Igushik"
"1929",2,1,2003,325,3,1,2,186,"Igushik"
"1930",1,2,2003,325,3,2,2,30,"Igushik"
"1931",1,2,2003,325,3,2,3,20,"Igushik"
"1932",2,1,2003,325,3,2,3,20,"Igushik"
"1933",2,1,2003,325,3,2,2,43,"Igushik"
"1934",1,2,2003,324,4,1,3,790,"Kvichak"
"1935",1,2,2003,324,4,1,2,5720,"Kvichak"
"1936",2,1,2003,324,4,1,2,1413,"Kvichak"
"1937",2,1,2003,324,4,1,3,476,"Kvichak"
"1938",1,2,2003,324,4,2,2,2750,"Kvichak"
"1939",1,2,2003,324,4,2,3,280,"Kvichak"
"1940",2,1,2003,324,4,2,3,35,"Kvichak"
"1941",2,1,2003,324,4,2,2,651,"Kvichak"
"1942",1,2,2003,324,5,1,3,1220,"Naknek"
"1943",1,2,2003,324,5,1,4,0,"Naknek"
"1944",1,2,2003,324,5,1,2,230,"Naknek"
"1945",2,1,2003,324,5,1,2,260,"Naknek"
"1946",2,1,2003,324,5,1,3,2056,"Naknek"
"1947",1,2,2003,324,5,2,3,2130,"Naknek"
"1948",1,2,2003,324,5,2,2,450,"Naknek"
"1949",2,1,2003,324,5,2,3,1043,"Naknek"
"1950",2,1,2003,324,5,2,2,548,"Naknek"
"1951",1,2,2003,322,7,1,4,0,"Egegik"
"1952",1,2,2003,322,7,1,3,890,"Egegik"
"1953",1,2,2003,322,7,1,2,540,"Egegik"
"1954",2,1,2003,322,7,1,3,747,"Egegik"
"1955",2,1,2003,322,7,1,2,302,"Egegik"
"1956",1,2,2003,322,7,2,2,1750,"Egegik"
"1957",1,2,2003,322,7,2,3,2700,"Egegik"
"1958",2,1,2003,322,7,2,3,2238,"Egegik"
"1959",2,1,2003,322,7,2,2,3223,"Egegik"
"1960",1,2,2003,321,8,1,3,660,"Ugashik"
"1961",1,2,2003,321,8,1,2,860,"Ugashik"
"1962",1,2,2003,321,8,1,4,0,"Ugashik"
"1963",2,1,2003,321,8,1,2,1282,"Ugashik"
"1964",2,1,2003,321,8,1,3,555,"Ugashik"
"1965",1,2,2003,321,8,2,2,550,"Ugashik"
"1966",1,2,2003,321,8,2,3,890,"Ugashik"
"1967",2,1,2003,321,8,2,3,560,"Ugashik"
"1968",2,1,2003,321,8,2,2,754,"Ugashik"
"1969",1,2,2003,326,9,1,2,100,"Togiak"
"1970",1,2,2003,326,9,1,3,400,"Togiak"
"1971",2,1,2003,326,9,1,2,89,"Togiak"
"1972",2,1,2003,326,9,1,3,277,"Togiak"
"1973",1,2,2003,326,9,2,3,0,"Togiak"
"1974",1,2,2003,326,9,2,2,0,"Togiak"
"1975",2,1,2003,326,9,2,3,26,"Togiak"
"1976",2,1,2003,326,9,2,2,17,"Togiak"
"1977",1,2,2004,325,1,1,3,1410,"Wood"
"1978",1,2,2004,325,1,1,2,2220,"Wood"
"1979",1,2,2004,325,1,1,4,90,"Wood"
"1980",2,1,2004,325,1,1,3,1810,"Wood"
"1981",2,1,2004,325,1,1,2,2277,"Wood"
"1982",1,2,2004,325,1,2,3,100,"Wood"
